,rank,trend,season,episode,name,start,total_votes,average_rating
0,"24,129",18,1,1,I'm Luffy! The Man Who Will Become the Pirate King!,1999,647,7.6
1,"29,290",11,1,2,"The Great Swordsman Appears! Pirate Hunter Roronoa Zoro",1999,473,7.8
2,"32,043",7,1,3,Morgan vs. Luffy! Who's This Beautiful Young Girl?,1999,428,7.7
3,"28,818",8,1,4,Luffy's Past! The Red-haired Shanks Appears!,1999,449,8.1
4,"37,113",4,1,5,"Fear Mysterious Power! Pirate Clown Captain Buggy!",1999,370,7.5
5,"36,209",4,1,6,Desperate Situation! Beast Tamer Mohji vs. Luffy!,1999,364,7.7
6,"37,648",4,1,7,Sozetsu Ketto! Kengo Zoro VS Kyokugei no Kabaji!,1999,344,7.7
7,"38,371",6,1,8,Shousha wa docchi? Akuma no mi no nouryoku taiketsu!,1999,335,7.7
8,"42,249",5,1,9,Seigi no usotsuki? Kyaputen Usoppu,2000,327,7.3
9,"41,829",4,1,10,Chijou saikyou no hen na yatsu! Saiminjutsushi Jango,2000,314,7.5
10,"43,039",4,1,11,Inbou o abake! Kaizoku shitsuji Kyaputen Kuro,2000,310,7.4
11,"40,540",3,1,12,Gekitotsu! Kuroneko kaizokudan sakamichi no daikoubou!,2000,303,7.8
12,"41,379",2,1,13,Kyoufu no futarigumi! Nyâban kyoudai vs Zoro,2000,295,7.8
13,"42,445",2,1,14,Rufi fukkatsu! Kaya ojousama no kesshi no taikou,2000,292,7.7
14,"44,849",2,1,15,Kuro o taose! Otoko Usoppu namida no ketsui!,2000,286,7.5
15,"43,088",2,1,16,Kaya o mamore! Usoppu kaizokudan daikatsuyaku!,2000,286,7.7
16,"39,004",2,1,17,Ikari bakuhatsu! Kuro vs Rufi kecchaku no yukue!,2000,296,8.1
17,"49,802",2,1,18,Anta ga chunjuu! Gaimon to kimyou na nakama,2000,278,7.1
18,"34,100",2,1,19,Santouryuu no kako! Zoro to Kuina no chikai!,2000,324,8.5
19,"43,896",3,1,20,Meibutsu kokku! Kaijou resutoran no Sanji,2000,279,7.7
20,"46,335",2,1,21,Manukarezaru kyaku! Sanji no meshi to Gin on,2000,267,7.6
21,"47,298",1,1,22,Saikyou no kaizoku kantai! Teitoku Don Kurîku,2000,260,7.6
22,"46,758",2,1,23,Mamore Baratie! Daikaizoku akaashi no Zefu,2000,257,7.7
23,"31,727",4,1,24,Tama no me no Mihôku! Kenzoku Zoro umi ni chiru,2000,340,8.7
24,"47,862",1,1,25,Hissatsu ashiwaza sakuretsu! Sanji vs Teppeki no Pâru,2000,256,7.6
25,"40,558",1,1,26,Zefu to Sanji no yume Maboroshi no ôru burû,2000,274,8.2
26,"47,734",1,1,27,Reitetsu hijou no kijin Kaizoku kantai soutaichou Gin,2000,257,7.6
27,"47,488",1,1,28,Shinaneeyo! Gekitou Rufi vs Kurîku!,2000,252,7.7
28,"46,967",1,1,29,Shitou no Ketchaku! Hara ni Kukutta Ippon no Yari!,2000,249,7.8
29,"41,958",1,1,30,Tabidachi! Umi no kokku wa Rufi to tomoni,2000,268,8.1
30,"50,657",1,1,31,Higashi no Umi Saiaku no Otoko! Gyojin Kaizoku Arlong!,2000,237,7.6
31,"49,842",1,1,32,Cocoyashi Mura no Majo! Arlong no Onna Kanbu,2000,236,7.7
32,"46,129",3,1,33,Usopp Shisu?! Luffy Jouriku wa Mada?,2000,255,7.8
33,"50,646",1,1,34,Zen'in Shuuketsu! Usopp ga Kataru Nami no Shinjitsu,2000,250,7.4
34,"45,379",1,1,35,Himerareta Kako! Onna Senshi Bell-mere!,2000,254,7.9
35,"39,506",1,1,36,Ikinuke! Haha Bellemere to Nami no Kizuna!,2000,277,8.3
36,"34,101",5,1,37,Luffy Tatsu! Uragirareta Yakusoku no Ketsumatsu!,2000,324,8.5
37,"42,865",1,1,38,Luffy Dai Pinch! Gyojin Tai Luffy Kaizokudan,2000,254,8.2
38,"45,187",1,1,39,Luffy Suibotsu! Zoro vs Tako no Hacchan,2000,249,8.0
39,"45,338",1,1,40,Hokoritakaki Senshi! Gekitou Sanji to Usopp,2000,248,8.0
40,"45,188",1,1,41,Luffy Zenkai! Nami no Ketsui to Mugiwara Boushi,2000,249,8.0
